id,video,question,options,gold,C0_pred (video),C0_ok,C1_pred (note),C1_ok,C2_pred (v+n),C2_ok,C4_pred (v+ASR),C4_ok,disagreement_type,note_text (first 280 chars)
54030_clip_51_materials,clip_51,Which material appears in this experimental step?,A:tungsten filament | B:FEP | C:gold-coated tip | D:MCP,B,C,✗,B,✓,C,✗,B,✓,other,"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""Initial scan"",     ""slope = -45860(540)"",     ""f0 = 141(2) nm""   ],   ""container_descriptions"": [],   ""substance_appearance"": [] } ```"
54030_clip_26_materials,clip_26,Which material appears in this experimental step?,A:acetic acid | B:ethanol | C:isopropanol | D:acetone,D,D,✓,B,✗,B,✗,D,✓,other,"```json {   ""materials_visible"": [""D2O""],   ""labels_seen"": [""400 mL"", ""PYREX"", ""D2O""],   ""container_descriptions"": [     {       ""shape"": ""conical flask"",       ""color"": ""transparent"",       ""size"": ""400 mL""     }   ],   ""substance_appearance"": [     {       ""color"": ""clear"",    ..."
51551_clip_15_materials,clip_15,What material appears in the researcher's work in this video clip?,A:suspended cells | B:trypsin-EDTA | C:supernatant | D:PBS,A,B,✗,D,✗,B,✗,C,✗,all_wrong,"```json {   ""materials_visible"": [     ""MILTOREX FILTRAL""   ],   ""labels_seen"": [     ""MILTOREX FILTRAL"",     ""VORTEX GENIE II""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""..."
51551_clip_26_materials,clip_26,Which material appears in this experimental step?,A:sterile LB broth | B:glycerol stock | C:overnight culture | D:inoculated culture,C,C,✓,B,✗,B,✗,C,✓,other,"```json {   ""materials_visible"": [     ""pipette"",     ""test tube"",     ""test tube rack""   ],   ""labels_seen"": [     ""Jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""cylin..."
51551_clip_13_materials,clip_13,What material appears in the researcher's work in this video clip?,A:Yeast Nitrogen Base (YNB) | B:LB broth | C:Synthetic Complete (SC) media | D:YPD media,D,C,✗,D,✓,C,✗,D,✓,other,"```json {   ""materials_visible"": [     ""Petri dishes""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular"",       ""color"": ""White"",       ""size"": ""Small""     }   ],   ""substance_appearance"": [     {       ""color"": ""Clear"",       ""s..."
51551_clip_16_materials,clip_16,Which material appears in this experimental step?,"A:10 milligrams per milliliter salmon testes carrier DNA | B:Herring sperm carrier DNA | C:TE buffer (10 mM Tris, 1 mM EDTA) | D:Salmon sperm DNA",A,A,✓,D,✗,D,✗,A,✓,other,"```json {   ""materials_visible"": [     ""Eppendorf tube"",     ""pipette tip""   ],   ""labels_seen"": [     ""Eppendorf"",     ""Pipette tip"",     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     ..."
62559_clip_31_materials,clip_31,What material appears in the researcher's work in this video clip?,A:beads | B:trypsin | C:agarose particles | D:magnetic nanoparticles,A,C,✗,B,✗,B,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""pipette"",     ""test tube"",     ""petri dish""   ],   ""labels_seen"": [     ""Do not pipette directly onto the cells""   ],   ""container_descriptions"": [     {       ""type"": ""pipette"",       ""color"": ""white and blue"",       ""size"": ""standard labo..."
62559_clip_24_materials,clip_24,Which material appears in this experimental step?,A:cell culture medium | B:blocking buffer | C:bead washing buffer | D:bead loading solution,D,D,✓,A,✗,D,✓,D,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [     ""pipette tip"",     ""sample in petri dish""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""circular"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""rectangular"",  ..."
62559_clip_12_materials,clip_12,Which material appears in this experimental step?,A:silica gel | B:beads | C:cell pellets | D:methanol,B,D,✗,A,✗,D,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""pH test strips"",     ""distilled water""   ],   ""labels_seen"": [     ""M"",     ""pH Test Strips"",     ""pH Range: 1-14"",     ""pH Test Strips"",     ""pH Range: 1-14"",     ""Distilled Water""   ],   ""container_descriptions"": [     {       ""shape"": ""r..."
50658_clip_30_materials,clip_30,Which material appears in this experimental step?,A:SDS solution (1% sodium dodecyl sulfate) | B:distilled water | C:running deionized water | D:saline solution (0.9% NaCl),C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Deionized H2O""   ],   ""labels_seen"": [     ""Deionized H2O: 0.6 ml/hr"",     ""24 hr"",     ""4 °C""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""large""     }   ],   ""substanc..."
50658_clip_19_materials,clip_19,Which material appears in this experimental step?,A:Tris buffer | B:PBS-AA | C:heparinized saline | D:PBS-Tween,B,C,✗,C,✗,C,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Syringe with yellow tip""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""color..."
50658_clip_14_materials,clip_14,What material appears in the researcher's work in this video clip?,A:70% ethanol | B:isopropyl alcohol | C:povidone-iodine | D:sterile saline solution,A,D,✗,D,✗,A,✓,A,✓,note_aug_helps (C2 lifts over C0),"```json {   ""materials_visible"": [     ""scalpel"",     ""gloves""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""blade"",       ""color"": ""silver"",       ""size"": ""small""     },     {       ""shape"": ""hand"",       ""color"": ""blue"",       ""size..."
50658_clip_20_materials,clip_20,What material appears in the researcher's work in this video clip?,A:nylon suture | B:silk ligature | C:surgical thread | D:silk five oh suture,D,D,✓,C,✗,D,✓,D,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [     ""surgical instruments"",     ""animal tissue"",     ""blood"",     ""syringe""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }   ], ..."
2137_clip_23_materials,clip_23,What material appears in the researcher's work in this video clip?,A:Schneider's medium | B:Grace's Insect Medium | C:DMEM | D:PBS,A,A,✓,A,✓,A,✓,A,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Schneider's medium"",     ""2% serum""   ],   ""labels_seen"": [     ""Dilute in Schneider's medium\nWith 2% serum"",     ""Filtered Vaccine"",     ""Crude Vaccine""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"":..."
2137_clip_25_materials,clip_25,What material appears in this procedure?,A:diluted virus | B:phosphate-buffered saline (PBS) | C:fetal bovine serum (FBS) | D:0.9% saline solution,A,B,✗,A,✓,D,✗,A,✓,other,"```json {   ""materials_visible"": [     ""Ethanol"",     ""Water""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""blue"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color"": ""red"",   ..."
2137_clip_26_materials,clip_26,Which material appears in this experimental step?,A:cell lysate | B:medium | C:PBS | D:trypsin-EDTA,B,D,✗,A,✗,A,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Ethanol""   ],   ""labels_seen"": [     ""Ethanol"",     ""CE Marking"",     ""ISO 9001"",     ""ISO 14001"",     ""ISO 50001""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""   ..."
55463_clip_43_materials,clip_43,Which material appears in this experimental step?,A:residual supernatant | B:PBS buffer | C:70% ethanol | D:cell pellet,A,D,✗,A,✓,A,✓,A,✓,note_better_than_video (C1>C0),"```json {   ""materials_visible"": [     ""pipette tip"",     ""test tube""   ],   ""labels_seen"": [     ""Eppendorf"",     ""Centrifuge 5417R""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""small""     },     {       ""shape"": ""..."
55463_clip_51_materials,clip_51,Which material appears in this experimental step?,A:1X TAE electrophoresis buffer | B:Lambda HindIII digest DNA ladder | C:acceptable DNA sample with a majority of DNA greater than 48.5kbp | D:ethidium bromide ,C,B,✗,B,✗,B,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""DNA ladder""   ],   ""labels_seen"": [     ""48 Kbp"",     ""12345"",     ""*"",     ""Acceptable"",     ""Marginal""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""black"",       ""size"": ""small""     }   ],   ""subs..."
55463_clip_44_materials,clip_44,Which material appears in this experimental step?,A:residue | B:precipitate | C:aggregate | D:pellet,D,D,✓,A,✗,A,✗,D,✓,other,"```json {   ""materials_visible"": [     ""Microcentrifuge tube""   ],   ""labels_seen"": [     ""A1""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""rectangular"",       ""color"": ""ora..."
55463_clip_41_materials,clip_41,Which material appears in this experimental step?,A:pelleted RNA | B:pelleted DNA | C:cell debris pellet | D:protein pellet,B,A,✗,A,✗,A,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Eppendorf Centrifuge 5417R""   ],   ""labels_seen"": [     ""Eppendorf"",     ""Centrifuge 5417R"",     ""100"",     ""5""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }..."
58267_clip_4_materials,clip_4,What material appears in the researcher's work in this video clip?,A:sodium chloride | B:calcium carbonate | C:calcium chloride | D:magnesium sulfate,C,C,✓,A,✗,A,✗,C,✓,other,"```json {   ""materials_visible"": [     ""LB broth""   ],   ""labels_seen"": [     ""LB"",     ""Eppendorf PhoMometer""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""clear"",       ""size"": ""small""     },     {       ""shape"": ""bottle"",       ""color"":..."
58267_clip_29_materials,clip_29,What material appears in the researcher's work in this video clip?,A:plaque | B:biofilm | C:liquid culture | D:single colonies,D,C,✗,C,✗,C,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""LB""   ],   ""labels_seen"": [     ""LB"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ""N25"",     ..."
58267_clip_16_materials,clip_16,Which material appears in this experimental step?,A:untransformed bacteria | B:cell debris | C:transduced bacteria | D:phage particles,C,D,✗,D,✗,D,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""1M Sodium Citrate""   ],   ""labels_seen"": [     ""1M Sodium Citrate"",     ""pH 5.5""   ],   ""container_descriptions"": [     {       ""shape"": ""bottle"",       ""color"": ""clear"",       ""size"": ""small""     },     {       ""shape"": ""tube rack"",       ..."
58267_clip_24_materials,clip_24,What material appears in this procedure?,A:heat-shock competent bacterial cells | B:kanamycin-resistant recipient strain electrocompetent | C:chemically competent E. coli cells | D:ampicillin-resistant,B,C,✗,C,✗,C,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""pipette tips"",     ""plastic tubes""   ],   ""labels_seen"": [     ""VACUETTE"",     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""small""     },     {       ""shape"": ""rectangu..."
201866_clip_25_materials,clip_25,What material appears in this procedure?,A:Krebs-Henseleit buffer | B:cardioplegia solution | C:perfusate | D:Tyrode's solution,C,B,✗,B,✗,B,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Heart"",     ""Surgical instruments""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Cylindrical"",       ""color"": ""Clear"",       ""size"": ""Small""     }   ],   ""substance_appearance"": [     {       ""m..."
201866_clip_3_materials,clip_3,What material appears in this procedure?,A:povidone iodine | B:chlorhexidine gluconate | C:iodine solution | D:hydrogen peroxide,A,A,✓,A,✓,A,✓,A,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""sterile gloves"",     ""white cloth"",     ""mouse""   ],   ""labels_seen"": [],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""blue"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color..."
201866_clip_22_materials,clip_22,Which material appears in this experimental step?,A:trachea | B:liver | C:kidneys | D:lungs,D,A,✗,A,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""sterile surgical gloves"",     ""surgical instruments"",     ""animal (likely a mouse or rat)"",     ""surgical drape"",     ""chain""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""c..."
201866_clip_12_materials,clip_12,What material appears in this procedure?,A:thyroid cartilage | B:carotid artery | C:esophagus | D:trachea,D,B,✗,B,✗,B,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Mouse"",     ""Surgical instruments (scissors, forceps)"",     ""Surgical tape""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Cylindrical"",       ""color"": ""Clear"",       ""size"": ""Small""     }   ],  ..."
51250_clip_22_materials,clip_22,What material appears in this procedure?,A:liquid nitrogen vapor | B:argon glow discharge | C:deuterium lamp | D:plasma,D,C,✗,C,✗,C,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""Ideally, match the lens system and spectrometer f-numbers.""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""black"",       ""size"": ""medium""     },     {       ""shape"": ""cylindrical""..."
51250_clip_39_materials,clip_39,What material appears in the researcher's work in this video clip?,A:luminescent gas | B:nebulized aerosol | C:microplasma | D:arc discharge,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [],   ""labels_seen"": [""See manuscript for ablation studies.""],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""black"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color"": ""black"",      ..."
51250_clip_37_materials,clip_37,What material appears in the researcher's work in this video clip?,A:electron beam | B:X-ray radiation | C:plasma radiation | D:laser radiation,C,D,✗,D,✗,D,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""OPA sync"",     ""laser flash"",     ""laser sync"",     ""laser pulse trigger"",     ""laser fire"",     ""Q-switch"",     ""OPA/CCD detector gate delay"",     ""OPA resonator""   ],   ""container_descriptions"": [],   ""substance_appea..."
51250_clip_41_materials,clip_41,Which material appears in this experimental step?,A:bovine serum albumin | B:deuterium lamp | C:formed plasma | D:argon gas,C,B,✗,B,✗,B,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""Use neon, mercury and hydrogen calibration lamps.""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""black"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""c..."
52456_clip_24_materials,clip_24,What material appears in this procedure?,A:chloroform | B:diethyl ether | C:dichloromethane | D:acetonitrile,A,D,✗,B,✗,B,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Sodium hydroxide (NaOH) solution"",     ""Ethanol"",     ""Water""   ],   ""labels_seen"": [     ""Jove"",     ""Sodium hydroxide (NaOH)"",     ""Ethanol"",     ""Water""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color""..."
52456_clip_3_materials,clip_3,What material appears in this procedure?,A:APTES solution | B:up test solution | C:ethanol | D:piranha solution,B,A,✗,A,✗,A,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""AFM Tip"",     ""Amino-Silanization""   ],   ""labels_seen"": [     ""AFM Tip"",     ""Amino-Silanization""   ],   ""container_descriptions"": [],   ""substance_appearance"": [] } ```"
52456_clip_46_materials,clip_46,Which material appears in this experimental step?,A:deionized water | B:Tris-HCl buffer | C:ethanol (70%) | D:ultrapure water,D,D,✓,D,✓,D,✓,D,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""BIOCHROM Ultra Pure Water"",     ""borate buffer""   ],   ""labels_seen"": [     ""BIOCHROM Ultra Pure Water"",     ""5 ml each of borate buffer and ultrapure water for rinsing\n20 ml ultrapure water for storage""   ],   ""container_descriptions"": [ ..."
52456_clip_43_materials,clip_43,Which material appears in this experimental step?,A:Tris-buffered saline (TBS) | B:bovine serum albumin (BSA) solution | C:phosphate-buffered saline (PBS) | D:poly tyrosine bore buffer solution,D,B,✗,C,✗,C,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""ethanol"",     ""borate buffer"",     ""dry chloroform""   ],   ""labels_seen"": [     ""ethanol"",     ""borate buffer"",     ""dry chloroform""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ..."
4022_clip_47_materials,clip_47,Which material appears in this experimental step?,A:cell suspension | B:freezing medium | C:calcium phosphate precipitate | D:trypsin-EDTA solution,A,A,✓,B,✗,A,✓,B,✗,other,"```json {   ""materials_visible"": [     ""BIOCRUX""   ],   ""labels_seen"": [     ""95% growth medium"",     ""5% DMSO"",     ""BIOCRUN"",     ""250 x g"",     ""5 min"",     ""RT"",     ""900 0.05"",     ""4 9 9 3655""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""col..."
4022_clip_2_materials,clip_2,What material appears in the researcher's work in this video clip?,A:liver from neonatal mice | B:kidneys from neonatal rats | C:spinal cord from neonatal mice | D:brains from neonatal mice,D,D,✓,A,✗,A,✗,D,✓,other,"```json {   ""materials_visible"": [     ""Petri dish"",     ""Microscope slide"",     ""Needle""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular"",       ""color"": ""Clear"",       ""size"": ""Small""     },     {       ""shape"": ""Rectangular""..."
4022_clip_33_materials,clip_33,What material appears in the researcher's work in this video clip?,A:trypsin-EDTA solution | B:media | C:fetal bovine serum | D:phosphate-buffered saline,B,A,✗,B,✓,A,✗,B,✓,other,"```json {   ""materials_visible"": [     ""Bacto Agar"",     ""Bacto Peptone Water""   ],   ""labels_seen"": [     ""Bacto Agar"",     ""Bacto Peptone Water""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""blue"",       ""size"": ""small""     },     {     ..."
4022_clip_52_materials,clip_52,What material appears in the researcher's work in this video clip?,A:growth medium | B:trypsin solution | C:cell suspension | D:phosphate buffered saline,C,B,✗,B,✗,B,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""10X Tris Buffer""   ],   ""labels_seen"": [     ""10X Tris Buffer""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""red"",       ""size"": ""small bottle""     },     {       ""shape"": ""cylindrical"",       ""color..."
53789_clip_21_materials,clip_21,What material appears in the researcher's work in this video clip?,A:solution of 2.17 milliliters of acetyl chloride and 138 milliliters of anhydrous diethyl ether | B:ethyl acetate | C:acetic anhydride | D:tetrahydrofuran (THF,A,A,✓,A,✓,A,✓,A,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""30.4 mmol acetyl chloride""   ],   ""labels_seen"": [     ""30.4 mmol acetyl chloride"",     ""5x-D""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""sh..."
53789_clip_29_materials,clip_29,What material appears in this procedure?,A:supernatant | B:calcium carbonate suspension | C:wash solvent | D:reaction mixture,D,B,✗,C,✗,B,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Ethanol"",     ""Water""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Conical flask"",       ""color"": ""Clear"",       ""size"": ""Small""     },     {       ""shape"": ""Round-bottom flask"",       ""color"":..."
53789_clip_25_materials,clip_25,Which material appears in this experimental step?,A:methanol-water mixture | B:dichloromethane | C:mixture of hexane and ethyl acetate | D:acetone,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [""25.4 mmol of a chemical sample with 92% yield""],   ""labels_seen"": [""25.4 mmol"", ""92% yield"", ""IV-OH"", ""BOME""],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""su..."
53789_clip_22_materials,clip_22,Which material appears in this experimental step?,A:dichloromethane | B:reaction solvent | C:quenching solution | D:reaction mixture,D,C,✗,B,✗,C,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""ml/hr"",     ""ml"",     ""mm dia"",     ""run""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""large""     },     {       ""shape"": ""glass"",       ""color"": ""transpa..."
50191_clip_19_materials,clip_19,What material appears in the researcher's work in this video clip?,A:adipose tissue | B:epithelial tissue | C:nervous tissue | D:connective tissue,D,B,✗,A,✗,B,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""agar plate""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""flat circular"",       ""color"": ""transparent"",       ""size"": ""large enough to hold multiple samples""     }   ],   ""substance_appearance"":..."
50191_clip_39_materials,clip_39,What material appears in this procedure?,A:induction medium | B:trypsin-EDTA solution | C:PBS | D:maintenance medium,A,B,✗,B,✗,B,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Petri dish"",     ""pipette tip""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular"",       ""color"": ""Clear"",       ""size"": ""Standard Petri dish size""     },     {       ""shape"": ""Conical"",   ..."
50191_clip_12_materials,clip_12,What material appears in this procedure?,A:lymph nodes | B:white adipose tissue deposits | C:brown adipose tissue lobes | D:thymus lobes,C,B,✗,B,✗,B,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [""rat"", ""scalpel""],   ""labels_seen"": [""jove""],   ""container_descriptions"": [],   ""substance_appearance"": [] } ```"
50191_clip_20_materials,clip_20,Which material appears in this experimental step?,A:70% ethanol | B:dissection medium | C:Ringer's solution | D:10% formalin,B,A,✗,B,✓,B,✓,B,✓,note_better_than_video (C1>C0),"```json {   ""materials_visible"": [     ""Petri dish"",     ""sterile cotton swab"",     ""agar plate""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular"",       ""color"": ""Clear"",       ""size"": ""Standard Petri dish size""     },     {   ..."
3250_clip_31_materials,clip_31,What material appears in the researcher's work in this video clip?,A:Formamide | B:XSSC at 22 degrees Celsius | C:PBS | D:SSC buffer,B,B,✓,D,✗,D,✗,B,✓,other,"```json {   ""materials_visible"": [     ""2x SSC"",     ""0.1x SSC""   ],   ""labels_seen"": [     ""2x SSC"",     ""0.1x SSC""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""transparent"",       ""size"": ""medium""     },     {       ""shape"": ""cylindrica..."
3250_clip_15_materials,clip_15,Which material appears in this experimental step?,A:coverslips | B:slides | C:membrane filters | D:cuvettes,B,D,✗,D,✗,D,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""H2O"",     ""PROPAN-1-OL""   ],   ""labels_seen"": [     ""H2O"",     ""PROPAN-1-OL"",     ""100 g"",     ""5 min"",     ""22° C""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""transparent"",       ""size"": ""small""  ..."
3250_clip_37_materials,clip_37,Which material appears in this experimental step?,A:SDS solution | B:PBS | C:TE buffer | D:0.1 XSSC,D,D,✓,D,✓,D,✓,D,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""1mM NaOH"",     ""0.1X SSC"",     ""62°C"",     ""10-20 minutes""   ],   ""labels_seen"": [     ""1mM NaOH"",     ""0.1X SSC"",     ""62°C"",     ""10-20 minutes""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""clear""..."
3250_clip_32_materials,clip_32,What material appears in this procedure?,A:TBS | B:SSPE | C:0.8 XSSC | D:PBS,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""0.8X SSC"",     ""0.4X SSC""   ],   ""labels_seen"": [     ""0.8X SSC"",     ""0.4X SSC""   ],   ""container_descriptions"": [     {       ""shape"": ""square"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""square"",    ..."
200206_clip_19_materials,clip_19,What material appears in this procedure?,A:calibration beads | B:agarose gel surface | C:glass coverslip | D:embryo's surface,D,C,✗,B,✗,C,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""jove"",     ""O2-INDUCED FLUORESCENCE"",     ""O2-INDUCED FLUORESCENCE"",     ""O2-INDUCED FLUORESCENCE"",     ""O2-INDUCED FLUORESCENCE"",     ""O2-INDUCED FLUORESCENCE"",     ""O2-INDUCED FLUORESCENCE"",     ""O2-INDUCED FLUORESCEN..."
200206_clip_46_materials,clip_46,Which material appears in this experimental step?,A:agarose-embedded tissue | B:paraformaldehyde-fixed tissue | C:static tissue | D:cryofixed tissue,C,A,✗,A,✗,A,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""Wait"",     ""wait time"",     ""00:00:00.1"",     ""Pause"",     ""OK"",     ""Cancel""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""green"",       ""size"": ""medium""     }   ],   ""substance..."
200206_clip_15_materials,clip_15,What material appears in this procedure?,A:fluorescent beads | B:agarose gel | C:fixed cells | D:embryo,D,A,✗,C,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""jove"",     ""GPI-BASED TRACKING"",     ""GPI-BASED TRACKING"",     ""GPI-BASED TRACKING"",     ""GPI-BASED TRACKING"",     ""GPI-BASED TRACKING"",     ""GPI-BASED TRACKING"",     ""GPI-BASED TRACKING"",     ""GPI-BASED TRACKING"",     ..."
200206_clip_6_materials,clip_6,What material appears in the researcher's work in this video clip?,A:embryos | B:zebrafish larvae | C:oocytes | D:agarose beads,A,D,✗,D,✗,C,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""DMSO""   ],   ""labels_seen"": [     ""DMSO"",     ""100% DMSO""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""black"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color"": ""clear""..."
54611_clip_36_materials,clip_36,What material appears in the researcher's work in this video clip?,A:cell pellet | B:lyophilized powder | C:agarose gel | D:tissue mass,D,B,✗,D,✓,B,✗,D,✓,other,"```json {   ""materials_visible"": [     ""1 ml extraction solution""   ],   ""labels_seen"": [     ""1 ml extraction solution for 100 ± 5 mg tissue""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""small""     }   ],   ""substa..."
